modelname,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B)
yolov8_c2fghost,0.89491,0.76432,0.87806,0.69342
yolov8s_small_target,0.88051,0.74598,0.85884,0.66452
yolov8s-efficientViT,0.73639,0.59134,0.68897,0.55251
yolov8s_GAM_P2/3/4,0.9154,0.81115,0.91226,0.7259
yolov8s_P2/3/4/5,0.89151,0.75832,0.87207,0.67716
yolov8s-mobilenetv4,0.81696,0.59044,0.7147,0.51869
yolov8s,0.65109,0.50092,0.5777,0.46824
yolov8s_SA_P2/3/4,0.89077,0.7662,0.87621,0.67961
yolov8-FasterNet,0.81183,0.59062,0.71633,0.47712
yolov8s_CBAM_P2/3/4,0.89769,0.75841,0.87614,0.66581
yolov8s-GhostNetv2,0.83853,0.64894,0.77163,0.63156
yolov8s-MobileNeXt,0.72358,0.4831,0.59016,0.31933
yolov8s_GAM_P2/3/4_SPPF,0.89641,0.80526,0.90652,0.73618
yolov8-GhostNetv2,0.75318,0.53133,0.64592,0.2892
yolov8s_singleGAM_P2/3/4,0.90827,0.78842,0.89547,0.7001
yolov8s_CA_P2/3/4,0.90306,0.76122,0.87979,0.69293
yolov10s,0.58348,0.48222,0.53559,0.43603
yolov9,0.62836,0.5042,0.57608,0.46669
