                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70423,                0.96062,                0.85104,                0.84745,                0.73836,                0.85027,                0.69139,                0.70025,                0.66333,                0.85813,               0.070023,              0.0033307,              0.0033307
                      2,                0.74217,                0.93504,                0.86213,                0.81849,                0.70471,                0.81811,                0.66279,                0.72622,                 0.7432,                0.87289,               0.039957,              0.0065981,              0.0065981
                      3,                0.78059,                0.98709,                0.87551,                0.73555,                0.63656,                0.73899,                0.59391,                0.76149,                0.90193,                0.88057,              0.0098253,              0.0097995,              0.0097995
                      4,                0.78584,                 0.9862,                0.87567,                0.78536,                0.66032,                0.77681,                0.62142,                0.75866,                0.81592,                 0.8736,               0.009703,               0.009703,               0.009703
                      5,                0.76481,                0.92116,                0.86917,                0.81213,                0.67466,                0.79512,                0.64201,                0.72257,                0.74506,                0.86528,               0.009604,               0.009604,               0.009604
                      6,                0.73979,                 0.8706,                0.86062,                0.83284,                0.69542,                0.81518,                0.65827,                  0.726,                0.70711,                0.86387,               0.009505,               0.009505,               0.009505
                      7,                0.72663,                0.84366,                0.86038,                0.83528,                0.71123,                0.82302,                0.66957,                 0.7039,                0.68662,                0.85801,               0.009406,               0.009406,               0.009406
                      8,                0.71835,                0.81042,                0.85975,                0.84611,                0.71105,                0.82908,                0.67644,                0.69695,                0.66609,                0.85647,               0.009307,               0.009307,               0.009307
                      9,                0.71171,                0.79148,                0.85372,                0.84217,                 0.7165,                0.82817,                0.66978,                0.71162,                0.68029,                0.85727,               0.009208,               0.009208,               0.009208
                     10,                0.70161,                0.77459,                0.85476,                 0.8575,                 0.7076,                0.82988,                0.67639,                0.68883,                0.65461,                0.85441,               0.009109,               0.009109,               0.009109
                     11,                0.68919,                 0.7587,                0.85049,                0.85871,                0.73389,                0.84613,                0.69246,                0.67082,                0.61285,                0.85141,                0.00901,                0.00901,                0.00901
                     12,                0.68774,                0.74669,                0.84927,                0.86361,                0.72854,                0.84706,                0.69444,                0.67392,                0.61059,                0.85041,               0.008911,               0.008911,               0.008911
                     13,                0.68045,                0.73578,                0.84893,                0.86684,                0.73534,                0.84736,                0.69764,                 0.6646,                0.59882,                0.84825,               0.008812,               0.008812,               0.008812
                     14,                0.68061,                0.73056,                0.84724,                0.85854,                0.74656,                0.85643,                0.70508,                0.66612,                0.58417,                0.84795,               0.008713,               0.008713,               0.008713
                     15,                0.67575,                0.71727,                 0.8478,                0.88878,                0.73954,                0.86026,                0.70832,                0.65663,                0.57203,                0.84681,               0.008614,               0.008614,               0.008614
                     16,                0.67233,                0.71239,                0.84734,                0.89453,                0.73577,                0.86297,                0.71018,                0.65973,                0.56468,                 0.8456,               0.008515,               0.008515,               0.008515
                     17,                0.66761,                0.70304,                0.84652,                0.89718,                0.73926,                0.86438,                0.71284,                0.65235,                0.56614,                0.84542,               0.008416,               0.008416,               0.008416
                     18,                0.67211,                0.70479,                0.84681,                0.88296,                 0.7511,                0.86653,                0.71587,                0.65089,                0.55639,                0.84422,               0.008317,               0.008317,               0.008317
                     19,                0.66035,                0.68602,                0.84325,                0.89459,                0.75398,                0.87157,                0.72161,                0.64661,                0.54461,                0.84313,               0.008218,               0.008218,               0.008218
                     20,                0.65586,                0.68087,                0.84284,                0.88432,                0.76425,                0.87281,                0.72261,                0.64524,                 0.5378,                0.84265,               0.008119,               0.008119,               0.008119
                     21,                 0.6563,                0.67579,                0.84179,                0.89799,                0.75456,                0.87267,                 0.7224,                0.64397,                0.53689,                0.84273,                0.00802,                0.00802,                0.00802
                     22,                  0.655,                0.67633,                0.84286,                0.87939,                0.76342,                0.87577,                0.72366,                 0.6436,                0.53131,                 0.8423,               0.007921,               0.007921,               0.007921
                     23,                0.64918,                0.66336,                0.84263,                0.89295,                0.76214,                 0.8757,                0.72432,                 0.6446,                0.53108,                0.84165,               0.007822,               0.007822,               0.007822
                     24,                0.64861,                0.66389,                0.84226,                0.89848,                0.76681,                0.87928,                0.72869,                0.63974,                 0.5214,                0.84099,               0.007723,               0.007723,               0.007723
                     25,                0.64644,                0.66315,                0.83876,                0.90212,                0.75715,                0.88032,                0.72962,                0.63758,                0.52204,                0.84056,               0.007624,               0.007624,               0.007624
                     26,                0.64247,                 0.6491,                0.84126,                 0.8915,                0.76977,                0.88233,                0.73155,                0.63596,                 0.5145,                0.84024,               0.007525,               0.007525,               0.007525
                     27,                0.64372,                0.65281,                0.84052,                0.89079,                0.77524,                0.88291,                0.73417,                0.63054,                0.50799,                0.83901,               0.007426,               0.007426,               0.007426
                     28,                 0.6438,                  0.652,                 0.8406,                0.89529,                0.77467,                0.88458,                0.73478,                0.63019,                 0.5074,                0.83875,               0.007327,               0.007327,               0.007327
                     29,                0.63747,                0.64296,                0.83807,                0.89561,                0.77793,                0.88539,                0.73589,                0.62864,                0.50357,                0.83841,               0.007228,               0.007228,               0.007228
                     30,                0.63739,                0.64111,                0.83886,                 0.9065,                0.76702,                0.88444,                0.73458,                0.62865,                0.50252,                0.83852,               0.007129,               0.007129,               0.007129
                     31,                0.63606,                0.63971,                0.83899,                0.88613,                0.78313,                0.88727,                0.73754,                0.62818,                0.49935,                0.83811,                0.00703,                0.00703,                0.00703
                     32,                0.63217,                0.63106,                0.83906,                 0.8847,                0.78821,                0.88871,                0.73854,                0.62767,                0.49618,                0.83783,               0.006931,               0.006931,               0.006931
                     33,                0.63041,                0.62926,                  0.838,                0.88912,                0.78608,                0.88889,                0.74052,                 0.6254,                0.49248,                0.83732,               0.006832,               0.006832,               0.006832
                     34,                0.62978,                0.62727,                 0.8388,                0.89889,                0.78275,                0.89078,                0.74171,                0.62422,                0.48907,                0.83709,               0.006733,               0.006733,               0.006733
                     35,                0.62444,                0.61841,                0.83818,                0.89113,                0.78624,                0.89075,                0.74266,                0.62125,                0.48743,                0.83659,               0.006634,               0.006634,               0.006634
                     36,                0.62364,                0.61268,                0.83761,                0.90081,                0.78089,                0.89065,                0.74291,                0.61981,                0.48527,                0.83626,               0.006535,               0.006535,               0.006535
                     37,                0.62352,                0.61562,                0.83691,                 0.9024,                0.77764,                0.89106,                0.74333,                0.61796,                0.48392,                  0.836,               0.006436,               0.006436,               0.006436
                     38,                0.62151,                0.61671,                0.83674,                 0.9027,                0.78126,                0.89226,                0.74455,                0.61855,                0.48211,                0.83615,               0.006337,               0.006337,               0.006337
                     39,                0.61741,                0.61145,                0.83416,                0.90271,                0.78302,                0.89291,                0.74519,                0.61862,                0.48047,                0.83602,               0.006238,               0.006238,               0.006238
                     40,                0.61785,                0.61261,                0.83621,                0.89602,                 0.7905,                0.89425,                 0.7472,                 0.6171,                0.47744,                0.83569,               0.006139,               0.006139,               0.006139
                     41,                0.61695,                0.60731,                0.83748,                0.90035,                0.78876,                0.89486,                0.74784,                0.61672,                0.47654,                0.83577,                0.00604,                0.00604,                0.00604
                     42,                0.61605,                0.60663,                0.83507,                0.90488,                0.78492,                0.89519,                0.74853,                0.61583,                0.47505,                0.83549,               0.005941,               0.005941,               0.005941
                     43,                0.61267,                0.60333,                0.83461,                0.90923,                0.78364,                 0.8958,                 0.7485,                0.61548,                0.47386,                0.83555,               0.005842,               0.005842,               0.005842
                     44,                0.61623,                0.60112,                0.83493,                0.89989,                0.79029,                0.89629,                0.74878,                0.61471,                 0.4732,                0.83543,               0.005743,               0.005743,               0.005743
                     45,                0.60806,                0.59671,                0.83318,                0.90572,                0.78876,                0.89706,                0.74983,                0.61401,                0.47148,                0.83533,               0.005644,               0.005644,               0.005644
                     46,                0.60984,                0.59778,                0.83359,                0.91075,                0.78375,                0.89731,                0.75066,                0.61274,                0.47063,                0.83514,               0.005545,               0.005545,               0.005545
                     47,                0.60289,                0.58598,                0.83369,                0.90237,                0.79042,                0.89755,                0.75135,                0.61184,                0.46901,                0.83507,               0.005446,               0.005446,               0.005446
                     48,                0.60872,                0.59454,                0.83235,                0.90283,                0.79216,                0.89796,                0.75161,                  0.611,                0.46796,                0.83486,               0.005347,               0.005347,               0.005347
                     49,                0.59923,                  0.581,                 0.8311,                 0.9021,                0.79317,                0.89811,                0.75202,                0.61022,                0.46723,                0.83478,               0.005248,               0.005248,               0.005248
                     50,                0.60507,                0.58758,                0.83277,                 0.9061,                0.79129,                0.89826,                0.75231,                0.60992,                0.46681,                 0.8346,               0.005149,               0.005149,               0.005149
