                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1241,                 14.811,                  3.541,                      0,                      0,                      0,                      0,                 4.2848,                 7.5477,                 3.0238,               0.082049,               0.001561,               0.001561
                      2,                 2.2241,                 3.5105,                 1.5737,                      0,                      0,                      0,                      0,                 4.5552,                 7.5225,                 2.8233,               0.063649,              0.0031608,              0.0031608
                      3,                 1.6851,                 2.6843,                 1.2832,                0.09794,                0.08933,                0.06402,                0.03283,                 1.8624,                 5.4782,                 1.4501,               0.045248,              0.0047598,              0.0047598
                      4,                 1.4638,                  2.473,                 1.1773,                0.05525,                0.65538,                0.14848,                0.09071,                 1.4377,                 3.0797,                 1.1652,               0.026845,              0.0063575,              0.0063575
                      5,                 1.3669,                 2.2538,                  1.129,                0.41632,                 0.3152,                   0.26,                 0.1352,                 1.7269,                 2.1576,                 1.2903,               0.008441,              0.0079532,              0.0079532
                      6,                 1.2952,                 2.0291,                 1.0913,                0.38475,                0.30798,                0.27719,                0.17287,                  1.356,                 2.1494,                 1.0958,              0.0079878,              0.0079878,              0.0079878
                      7,                 1.2267,                 2.0095,                 1.0521,                0.36108,                0.40101,                0.32794,                0.20963,                 1.2559,                 2.0299,                 1.0499,              0.0079878,              0.0079878,              0.0079878
                      8,                 1.1905,                 1.8056,                 1.0271,                 0.5138,                0.28141,                 0.3601,                0.24565,                 1.2837,                 2.2241,                 1.0847,              0.0079824,              0.0079824,              0.0079824
                      9,                 1.1179,                 1.6919,                 1.0049,                0.55479,                0.49781,                0.52019,                0.35952,                 1.1309,                 1.5707,                 1.0049,              0.0079761,              0.0079761,              0.0079761
                     10,                 1.0951,                 1.5423,                 0.9917,                0.59633,                0.48318,                0.55327,                0.36753,                 1.2347,                 1.4744,                 1.0328,              0.0079688,              0.0079688,              0.0079688
                     11,                 1.0679,                 1.5069,                0.99053,                0.61844,                0.51212,                0.57686,                0.38745,                 1.2148,                 1.4325,                 1.0304,              0.0079605,              0.0079605,              0.0079605
                     12,                 1.0713,                 1.4153,                0.98526,                0.61656,                0.53403,                0.60449,                0.38127,                 1.3361,                 1.3671,                 1.0678,              0.0079512,              0.0079512,              0.0079512
                     13,                 1.0527,                 1.3534,                0.97794,                0.61821,                0.52494,                  0.606,                0.26902,                 1.9814,                 1.5401,                 1.3912,               0.007941,               0.007941,               0.007941
                     14,                 1.0426,                 1.3323,                0.97902,                0.72678,                0.57165,                0.67768,                 0.4881,                 1.0264,                 1.2094,                0.97819,              0.0079299,              0.0079299,              0.0079299
                     15,                 1.0524,                 1.2829,                 0.9853,                0.71155,                0.58599,                0.68239,                0.42672,                 1.3403,                 1.2119,                 1.0641,              0.0079177,              0.0079177,              0.0079177
                     16,                  1.017,                 1.2513,                0.96863,                0.74768,                0.60445,                0.72145,                0.46053,                 1.3156,                  1.132,                 1.0674,              0.0079046,              0.0079046,              0.0079046
                     17,                 1.0189,                 1.2065,                 0.9692,                0.74356,                 0.6136,                0.72095,                0.32682,                 1.9743,                 1.2274,                 1.3917,              0.0078906,              0.0078906,              0.0078906
                     18,                 1.0149,                 1.1905,                0.96593,                0.79063,                0.61472,                0.73877,                0.38735,                 1.7383,                 1.1039,                 1.2378,              0.0078756,              0.0078756,              0.0078756
                     19,                 1.0112,                 1.1669,                0.96199,                0.74813,                0.62486,                0.73161,                0.50241,                 1.1107,                 1.1122,                 1.0066,              0.0078596,              0.0078596,              0.0078596
                     20,                0.98798,                  1.157,                0.96215,                0.78728,                 0.6002,                0.74034,                0.49319,                 1.1854,                 1.0396,                 1.0123,              0.0078428,              0.0078428,              0.0078428
                     21,                0.98891,                 1.1461,                0.95567,                0.76836,                   0.64,                0.75639,                0.51736,                 1.1438,                  1.015,                 1.0119,              0.0078249,              0.0078249,              0.0078249
                     22,                 1.0134,                 1.1504,                0.96477,                 0.7611,                0.63888,                0.75366,                 0.4656,                 1.4077,                 1.0798,                 1.1074,              0.0078062,              0.0078062,              0.0078062
                     23,                0.97773,                 1.1104,                0.95556,                0.77572,                 0.6582,                0.77128,                0.40512,                 1.6939,                 1.0942,                 1.2314,              0.0077865,              0.0077865,              0.0077865
                     24,                0.98083,                 1.0844,                0.95834,                0.80764,                0.62793,                0.76434,                0.42179,                 1.6796,                 3.4281,                 1.2199,              0.0077659,              0.0077659,              0.0077659
                     25,                0.96373,                 1.0768,                0.95088,                0.81517,                0.65684,                 0.7796,                0.42604,                 1.6253,                  1.035,                 1.1885,              0.0077444,              0.0077444,              0.0077444
                     26,                0.96278,                 1.0681,                0.94765,                0.83865,                0.08396,                0.45888,                0.30465,                 1.4707,                    inf,                 1.1216,              0.0077219,              0.0077219,              0.0077219
                     27,                 0.9712,                 1.0891,                0.95019,                0.81407,                0.64768,                0.78373,                0.55469,                 1.0808,                0.95658,                0.96598,              0.0076986,              0.0076986,              0.0076986
                     28,                0.95309,                  1.038,                0.94561,                0.80835,                0.64739,                0.78518,                0.49128,                 1.3613,                0.95705,                 1.0937,              0.0076743,              0.0076743,              0.0076743
                     29,                0.94145,                 1.0273,                0.94642,                 0.8033,                0.66553,                 0.7896,                0.47054,                 1.4587,                 1.0198,                 1.1343,              0.0076492,              0.0076492,              0.0076492
                     30,                0.96393,                 1.0417,                 0.9464,                0.80029,                0.68158,                0.79552,                0.47054,                 1.4745,                0.96417,                 1.1187,              0.0076231,              0.0076231,              0.0076231
                     31,                 0.9596,                 1.0285,                0.94793,                0.80029,                0.68158,                0.79552,                0.47054,                 1.8477,                    inf,                 1.2805,              0.0075962,              0.0075962,              0.0075962
                     32,                0.95288,                 1.0406,                0.94214,                0.81467,                0.65195,                0.78387,                0.47362,                 1.4295,                0.95724,                 1.1429,              0.0075684,              0.0075684,              0.0075684
                     33,                 0.9624,                 1.0209,                0.94776,                0.81467,                0.65195,                0.78387,                0.47362,                 1.5738,                    inf,                 1.1608,              0.0075397,              0.0075397,              0.0075397
                     34,                0.95875,                 1.0247,                0.94573,                0.82667,                 0.6754,                0.80332,                0.45693,                  1.573,                0.95721,                 1.1638,              0.0075102,              0.0075102,              0.0075102
                     35,                0.96251,                 1.0214,                 0.9401,                0.81996,                0.67466,                0.79802,                0.45885,                 1.5503,                0.94791,                 1.1757,              0.0074798,              0.0074798,              0.0074798
                     36,                0.94844,                 1.0069,                0.94276,                 0.8239,                0.68849,                0.80984,                0.42775,                  1.699,                0.97364,                 1.2567,              0.0074485,              0.0074485,              0.0074485
                     37,                0.93364,                0.99699,                0.94231,                 0.8418,                 0.6795,                0.80713,                0.51245,                 1.3403,                0.92621,                 1.0763,              0.0074165,              0.0074165,              0.0074165
                     38,                0.93536,                0.99037,                0.93945,                0.91716,                 0.4377,                0.67903,                0.42063,                 1.5763,                    inf,                  1.156,              0.0073835,              0.0073835,              0.0073835
                     39,                0.92758,                0.97366,                0.94129,                0.83595,                0.66914,                0.79964,                0.44714,                 1.5611,                0.98766,                   1.19,              0.0073498,              0.0073498,              0.0073498
                     40,                0.92872,                0.99496,                0.94082,                 0.8394,                0.67735,                0.80082,                0.41176,                 1.7725,                0.98379,                 1.2951,              0.0073152,              0.0073152,              0.0073152
                     41,                0.93664,                0.98557,                0.94155,                0.83189,                 0.6841,                 0.8003,                0.57733,                 1.0549,                 3.4047,                0.97866,              0.0072799,              0.0072799,              0.0072799
                     42,                0.92167,                0.97619,                0.93187,                0.83855,                   0.68,                0.80632,                0.51162,                 1.3008,                0.90177,                 1.0547,              0.0072437,              0.0072437,              0.0072437
                     43,                0.92699,                0.98699,                0.93766,                0.84104,                 0.6894,                0.81288,                0.56895,                   1.09,                0.82758,                 0.9769,              0.0072068,              0.0072068,              0.0072068
                     44,                0.91668,                0.97596,                0.94251,                0.83361,                0.68879,                0.81568,                0.54705,                 1.1917,                0.84429,                 1.0168,               0.007169,               0.007169,               0.007169
                     45,                0.92457,                0.96749,                 0.9375,                0.83361,                0.68879,                0.81568,                0.54705,                 1.3847,                    inf,                 1.0742,              0.0071305,              0.0071305,              0.0071305
                     46,                0.91615,                0.98079,                0.93205,                0.81284,                0.68732,                0.80213,                  0.386,                 1.9135,                 1.0784,                  1.395,              0.0070912,              0.0070912,              0.0070912
                     47,                0.89377,                0.95056,                0.92272,                 0.8408,                0.70379,                0.82291,                0.50968,                  1.358,                  0.875,                 1.0797,              0.0070512,              0.0070512,              0.0070512
                     48,                  0.902,                0.94175,                0.93045,                0.83906,                0.70065,                0.82314,                0.50928,                 1.3968,                0.86712,                 1.1006,              0.0070104,              0.0070104,              0.0070104
                     49,                0.91976,                 0.9564,                0.93287,                0.84355,                0.70428,                0.82359,                 0.5216,                 1.3154,                 0.8369,                 1.0441,              0.0069689,              0.0069689,              0.0069689
                     50,                0.89763,                 0.9368,                0.93681,                0.85438,                0.68974,                0.81774,                0.56386,                 1.1114,                0.81067,                0.98022,              0.0069267,              0.0069267,              0.0069267
                     51,                 0.9011,                0.94384,                0.92851,                0.83562,                0.69323,                0.81892,                0.51382,                 1.3759,                0.85887,                 1.0888,              0.0068838,              0.0068838,              0.0068838
                     52,                 0.9063,                0.95685,                0.92882,                0.84028,                0.69478,                0.81706,                0.57472,                 1.1055,                0.82065,                0.98291,              0.0068401,              0.0068401,              0.0068401
                     53,                0.91224,                0.93579,                0.93188,                0.86066,                0.70013,                0.82616,                0.55242,                 1.2005,                0.84247,                 1.0151,              0.0067958,              0.0067958,              0.0067958
                     54,                0.88887,                 0.9448,                0.92538,                0.83845,                0.63257,                 0.7356,                0.53311,                 1.1791,                    inf,                 1.0149,              0.0067508,              0.0067508,              0.0067508
                     55,                  0.903,                0.94076,                0.92974,                0.84843,                0.69794,                0.82365,                 0.6029,                0.97095,                0.77154,                 0.9555,              0.0067051,              0.0067051,              0.0067051
                     56,                0.87804,                 0.9124,                0.92468,                 0.8412,                0.70274,                0.82337,                0.47059,                 1.5326,                 0.8913,                 1.1685,              0.0066588,              0.0066588,              0.0066588
                     57,                0.88056,                0.91351,                0.92246,                0.85125,                0.69026,                0.81835,                0.48259,                 1.4842,                0.88966,                 1.1549,              0.0066118,              0.0066118,              0.0066118
                     58,                0.88034,                0.92172,                0.92477,                 0.8628,                0.68085,                0.81928,                 0.6037,                 0.9577,                0.79894,                0.92803,              0.0065642,              0.0065642,              0.0065642
                     59,                0.91259,                0.93209,                0.92873,                 0.8475,                0.70075,                0.82891,                 0.6074,                0.97602,                 0.7765,                0.93451,               0.006516,               0.006516,               0.006516
                     60,                0.88521,                0.91225,                0.92485,                0.84435,                0.69266,                0.81753,                0.49431,                 1.4266,                0.86249,                 1.1039,              0.0064671,              0.0064671,              0.0064671
                     61,                 0.8872,                0.93932,                0.92621,                0.84702,                0.69871,                0.82265,                0.53464,                 1.2529,                0.82385,                 1.0314,              0.0064177,              0.0064177,              0.0064177
                     62,                0.88414,                0.91515,                0.92665,                0.84759,                0.71338,                0.83175,                0.56791,                 1.1741,                0.79354,                 1.0046,              0.0063676,              0.0063676,              0.0063676
                     63,                0.88338,                0.92165,                0.92351,                0.85114,                0.71321,                0.83163,                0.58639,                 1.0786,                0.76374,                0.97405,               0.006317,               0.006317,               0.006317
                     64,                0.86626,                0.91448,                0.91785,                0.84517,                0.69441,                 0.8233,                0.45527,                 1.6229,                0.92479,                 1.2107,              0.0062659,              0.0062659,              0.0062659
